episode:164 	| reward:102.73 	| took:4.29s 	| avrege:184.29 	| loss:(actor:-18.93, critic:0.22)
episode:165 	| reward:24.63 	| took:1.30s 	| avrege:184.22 	| loss:(actor:-19.18, critic:3.58)
episode:166 	| reward:291.16 	| took:11.93s 	| avrege:186.83 	| loss:(actor:-18.63, critic:9.54)
episode:167 	| reward:144.25 	| took:5.81s 	| avrege:187.93 	| loss:(actor:-19.24, critic:0.12)
episode:168 	| reward:471.61 	| took:21.62s 	| avrege:192.31 	| loss:(actor:-19.45, critic:0.08)
episode:169 	| reward:557.89 	| took:21.55s 	| avrege:197.58 	| loss:(actor:-20.47, critic:0.09)
episode:170 	| reward:400.12 	| took:17.51s 	| avrege:201.25 	| loss:(actor:-20.02, critic:7.07)
episode:171 	| reward:167.07 	| took:6.41s 	| avrege:202.61 	| loss:(actor:-21.14, critic:0.10)
episode:172 	| reward:116.29 	| took:4.53s 	| avrege:203.44 	| loss:(actor:-20.90, critic:7.29)
episode:173 	| reward:146.99 	| took:5.67s 	| avrege:204.62 	| loss:(actor:-21.19, critic:14.68)
episode:174 	| reward:119.82 	| took:4.97s 	| avrege:205.48 	| loss:(actor:-20.72, critic:0.24)
episode:175 	| reward:130.56 	| took:5.14s 	| avrege:206.47 	| loss:(actor:-20.73, critic:0.17)
episode:176 	| reward:368.00 	| took:14.44s 	| avrege:209.77 	| loss:(actor:-21.27, critic:0.08)
episode:177 	| reward:92.86 	| took:4.12s 	| avrege:210.33 	| loss:(actor:-21.45, critic:0.10)
episode:178 	| reward:216.46 	| took:8.21s 	| avrege:212.14 	| loss:(actor:-21.91, critic:0.09)
episode:179 	| reward:549.99 	| took:20.77s 	| avrege:217.27 	| loss:(actor:-21.09, critic:1.44)
episode:180 	| reward:379.21 	| took:15.38s 	| avrege:220.73 	| loss:(actor:-22.20, critic:9.94)
episode:181 	| reward:74.97 	| took:3.33s 	| avrege:221.26 	| loss:(actor:-21.83, critic:5.48)
episode:182 	| reward:436.90 	| took:17.85s 	| avrege:225.39 	| loss:(actor:-23.20, critic:0.14)
episode:183 	| reward:107.79 	| took:4.36s 	| avrege:226.15 	| loss:(actor:-23.02, critic:0.12)
episode:184 	| reward:641.62 	| took:26.16s 	| avrege:232.24 	| loss:(actor:-23.11, critic:0.13)
episode:185 	| reward:267.94 	| took:10.36s 	| avrege:234.53 	| loss:(actor:-23.23, critic:5.77)
episode:186 	| reward:82.08 	| took:3.50s 	| avrege:234.89 	| loss:(actor:-23.41, critic:0.06)
episode:187 	| reward:13.59 	| took:0.91s 	| avrege:234.46 	| loss:(actor:-23.84, critic:0.12)
episode:188 	| reward:512.64 	| took:20.29s 	| avrege:239.02 	| loss:(actor:-23.64, critic:0.56)
episode:189 	| reward:125.40 	| took:5.02s 	| avrege:239.72 	| loss:(actor:-23.74, critic:15.42)
episode:190 	| reward:73.08 	| took:3.01s 	| avrege:239.80 	| loss:(actor:-24.78, critic:9.92)
episode:191 	| reward:226.20 	| took:8.52s 	| avrege:241.50 	| loss:(actor:-23.00, critic:0.87)
episode:192 	| reward:547.70 	| took:20.89s 	| avrege:246.39 	| loss:(actor:-23.89, critic:16.08)
episode:193 	| reward:39.22 	| took:2.05s 	| avrege:246.27 	| loss:(actor:-24.68, critic:8.35)
episode:194 	| reward:59.70 	| took:2.67s 	| avrege:245.38 	| loss:(actor:-25.24, critic:0.08)
episode:195 	| reward:36.88 	| took:1.85s 	| avrege:244.82 	| loss:(actor:-24.61, critic:0.10)
episode:196 	| reward:135.96 	| took:5.51s 	| avrege:245.50 	| loss:(actor:-24.90, critic:0.11)
episode:197 	| reward:44.96 	| took:1.98s 	| avrege:242.49 	| loss:(actor:-25.46, critic:0.20)
episode:198 	| reward:32.64 	| took:1.68s 	| avrege:239.90 	| loss:(actor:-24.63, critic:0.08)
episode:199 	| reward:41.71 	| took:1.97s 	| avrege:237.95 	| loss:(actor:-25.40, critic:3.26)
episode:200 	| reward:44.46 	| took:2.08s 	| avrege:236.61 	| loss:(actor:-25.38, critic:0.14)
episode:201 	| reward:121.93 	| took:5.00s 	| avrege:237.02 	| loss:(actor:-25.30, critic:7.31)
episode:202 	| reward:55.13 	| took:2.49s 	| avrege:235.94 	| loss:(actor:-25.33, critic:12.13)
episode:203 	| reward:59.77 	| took:2.84s 	| avrege:234.01 	| loss:(actor:-24.91, critic:0.06)
episode:204 	| reward:87.74 	| took:3.84s 	| avrege:227.22 	| loss:(actor:-25.22, critic:0.24)
episode:205 	| reward:448.54 	| took:18.37s 	| avrege:227.83 	| loss:(actor:-24.87, critic:5.38)
episode:206 	| reward:592.74 	| took:23.59s 	| avrege:232.14 	| loss:(actor:-26.06, critic:0.23)
